[µs]	Sample
61612	1
61628	0
62058	1
62073	0
62085	1
62100	0
62110	1
62126	0
62136	1
62152	0
62162	1
62178	0
62188	1
62205	0
62215	1
62231	0
62241	1
62257	0
62267	1
62284	0
62294	1
62309	0
62320	1
62335	0
62346	1
62361	0
62373	1
62388	0
62399	1
62414	0
62425	1
62440	0
62451	1
62466	0
63735	1
63750	0
63762	1
63777	0
63788	1
63803	0
63814	1
63829	0
63839	1
63856	0
63866	1
63882	0
63892	1
63908	0
63918	1
63935	0
63945	1
63961	0
63971	1
63986	0
63997	1
64020	0
64024	1
64039	0
64050	1
64065	0
64075	1
64091	0
64101	1
64118	0
64128	1
64144	0
64574	1
64589	0
64600	1
64616	0
64625	1
64642	0
64653	1
64668	0
64678	1
64695	0
64705	1
64720	0
64731	1
64746	0
64758	1
64773	0
64784	1
64799	0
64810	1
64825	0
64835	1
64851	0
64861	1
64878	0
64888	1
64904	0
64914	1
64930	0
64940	1
64957	0
64967	1
64982	0
66251	1
66266	0
66277	1
66292	0
66304	1
66319	0
66330	1
66345	0
66355	1
66371	0
66381	1
66398	0
66408	1
66424	0
66434	1
66450	0
66460	1
66477	0
66487	1
66503	0
66513	1
66528	0
66539	1
66554	0
66566	1
66581	0
66592	1
66607	0
66618	1
66633	0
66645	1
66659	0
67090	1
67105	0
67116	1
67131	0
67142	1
67157	0
67169	1
67184	0
67195	1
67210	0
67220	1
67237	0
67247	1
67263	0
67273	1
67289	0
67299	1
67314	0
67325	1
67341	0
67352	1
67367	0
67378	1
67393	0
67404	1
67419	0
67431	1
67446	0
67457	1
67472	0
67482	1
67498	0
67928	1
67944	0
67954	1
67970	0
67980	1
67996	0
68007	1
68023	0
68033	1
68049	0
68059	1
68075	0
68085	1
68100	0
68112	1
68127	0
68138	1
68153	0
68164	1
68179	0
68191	1
68206	0
68217	1
68232	0
68243	1
68258	0
68268	1
68285	0
68295	1
68311	0
68321	1
68337	0
68767	1
68782	0
68793	1
68808	0
68820	1
68835	0
68846	1
68861	0
68871	1
68887	0
68897	1
68914	0
68924	1
68940	0
68950	1
68966	0
68976	1
68992	0
69002	1
69019	0
69029	1
69045	0
69055	1
69070	0
69081	1
69096	0
69108	1
69123	0
69134	1
69149	0
69160	1
69175	0
69605	1
69621	0
69631	1
69648	0
69658	1
69674	0
69684	1
69699	0
69710	1
69725	0
69737	1
69752	0
69763	1
69778	0
69789	1
69805	0
69815	1
69831	0
69842	1
69857	0
69867	1
69884	0
69893	1
69909	0
69920	1
69936	0
69946	1
69962	0
69972	1
69987	0
69999	1
70014	0
70444	1
70460	0
70470	1
70486	0
70496	1
70511	0
70523	1
70538	0
70549	1
70564	0
70578	1
70590	0
70601	1
70617	0
70627	1
70644	0
70654	1
70670	0
70680	1
70695	0
70706	1
70721	0
70732	1
70748	0
70759	1
70774	0
70785	1
70800	0
70811	1
70826	0
70838	1
70853	0
71283	1
71298	0
71309	1
71324	0
71335	1
71351	0
71362	1
71377	0
71387	1
71403	0
71413	1
71429	0
71439	1
71456	0
71466	1
71482	0
71492	1
71508	0
71518	1
71535	0
71545	1
71561	0
71571	1
71586	0
71597	1
71612	0
71624	1
71639	0
71650	1
71665	0
71676	1
71691	0
72121	1
72136	0
72148	1
72163	0
72174	1
72189	0
72200	1
72215	0
72227	1
72242	0
72253	1
72268	0
72279	1
72294	0
72304	1
72320	0
72330	1
72347	0
72357	1
72373	0
72383	1
72399	0
72409	1
72426	0
72436	1
72452	0
72462	1
72504	0
72515	1
72530	0
72960	1
72975	0
72986	1
73001	0
73013	1
73028	0
73039	1
73054	0
73065	1
73080	0
73090	1
73107	0
73117	1
73133	0
73143	1
73159	0
73169	1
73186	0
73196	1
73212	0
73228	1
73237	0
73248	1
73264	0
73274	1
73291	0
73301	1
73317	0
73327	1
73342	0
73353	1
73368	0
73799	1
73814	0
73825	1
73841	0
73851	1
73867	0
73878	1
73893	0
73903	1
73919	0
73930	1
73945	0
73956	1
73971	0
73982	1
73997	0
74009	1
74024	0
74035	1
74050	0
74060	1
74076	0
74086	1
74103	0
74113	1
74129	0
74139	1
74155	0
74165	1
74182	0
74192	1
74208	0
74638	1
74653	0
74663	1
74679	0
74689	1
74705	0
74715	1
74732	0
74742	1
74758	0
74768	1
74784	0
74794	1
74811	0
74821	1
74837	0
74847	1
74862	0
74873	1
74888	0
74899	1
74914	0
74926	1
74941	0
74952	1
74967	0
74978	1
74993	0
75005	1
75020	0
75030	1
75046	0
75476	1
75491	0
75502	1
75518	0
75529	1
75544	0
75554	1
75570	0
75580	1
75596	0
75606	1
75623	0
75633	1
75649	0
75659	1
75675	0
75685	1
75700	0
75712	1
75728	0
75738	1
75754	0
75764	1
75779	0
75790	1
75805	0
75817	1
75833	0
75843	1
75858	0
75869	1
75884	0
77153	1
77168	0
77180	1
77195	0
77206	1
77221	0
77232	1
77247	0
77258	1
77273	0
77283	1
77300	0
77310	1
77326	0
77336	1
77352	0
77362	1
77379	0
77389	1
77405	0
77415	1
77431	0
77441	1
77457	0
77468	1
77484	0
77494	1
77509	0
77520	1
77535	0
77546	1
77561	0
78830	1
78845	0
78857	1
78872	0
78883	1
78898	0
78909	1
78924	0
78936	1
78951	0
78962	1
